zipcode,city_name,house_type,prix_m2
1560,SERVIGNAT,Maison,4344.262295081967
1560,VESCOURS,Maison,2128.5714285714284
1570,FEILLENS,Maison,1875.0
1570,MANZIAT,Maison,2425.945945945946
1580,IZERNORE,Maison,2228.9156626506024
1600,MASSIEUX,Maison,2952.755905511811
1600,MISERIEUX,Maison,2954.5454545454545
1600,PARCIEUX,Maison,2763.736263736264
1600,REYRIEUX,Maison,3950.0
1600,SAINT-BERNARD,Maison,4912.2807017543855
1600,SAINT-DIDIER-DE-FORMANS,Maison,2166.6666666666665
1600,SAINTE-EUPHEMIE,Maison,3920.353982300885
1600,TREVOUX,Appartement,3177.3504273504277
1600,TREVOUX,Maison,4500.0
1630,PERON,Appartement,4777.777777777777
1630,PERON,Maison,5434.391891891892
1630,SERGY,Maison,4981.810685191664
1640,JUJURIEUX,Appartement,2177.879901960784
1640,JUJURIEUX,Maison,2722.222222222222
1660,CHAVEYRIAT,Maison,2947.6190476190477
1660,MEZERIAT,Maison,3973.484848484848
1660,VANDEINS,Maison,2403.846153846154
1680,LOMPNAS,Maison,2246.376811594203
1700,BEYNOST,Maison,4639.026082130966
1700,MIRIBEL,Appartement,2545.4545454545455
1700,MIRIBEL,Maison,4574.468085106383
1700,NEYRON,Appartement,2469.230769230769
1700,NEYRON,Maison,1969.6969696969697
1700,SAINT-MAURICE-DE-BEYNOST,Appartement,3561.6438356164385
1700,SAINT-MAURICE-DE-BEYNOST,Maison,4010.204081632653
1710,THOIRY,Appartement,4679.009287925696
1710,THOIRY,Maison,5411.764705882353
1750,REPLONGES,Maison,2594.791666666667
1750,SAINT-LAURENT-SUR-SAONE,Appartement,1872.7272727272727
1800,CHARNOZ-SUR-AIN,Maison,4886.363636363636
1800,FARAMANS,Maison,3772.7272727272725
1800,MEXIMIEUX,Appartement,2377.840909090909
1800,MEXIMIEUX,Maison,3535.3535353535353
1800,PEROUGES,Appartement,2623.3766233766232
1800,RIGNIEUX-LE-FRANC,Maison,3035.6521739130435
1800,SAINT-JEAN-DE-NIOST,Maison,4194.2338709677415
1800,SAINT-MAURICE-DE-GOURDANS,Maison,3103.448275862069
1800,VILLIEU-LOYES-MOLLON,Appartement,3229.6015180265654
1800,VILLIEU-LOYES-MOLLON,Maison,2734.4553529686773
1960,PERONNAS,Maison,2081.3953488372094
1960,SAINT-ANDRE-SUR-VIEUX-JONC,Maison,1904.7619047619048
1960,SERVAS,Maison,1925.9259259259259
1990,RELEVANT,Maison,3245.6140350877195
1990,SAINT-TRIVIER-SUR-MOIGNANS,Maison,2490.0
75001,PARIS,Appartement,12380.0
75002,PARIS,Appartement,11200.0
75003,PARIS,Appartement,17469.05982905983
75004,PARIS,Appartement,12096.666666666666
75008,PARIS,Appartement,11340.574879227053
75009,PARIS,Appartement,11504.0
75010,PARIS,Appartement,11272.798742138366
75017,PARIS,Appartement,10875.959079283886
75018,PARIS,Appartement,9996.606334841628
75019,PARIS,Appartement,8741.87782051282
75019,PARIS,Maison,23888.88888888889
75020,PARIS,Appartement,10652.631578947368
