Code INSEE,Code Postal,Commune,Superficie,Code Département,Code Région
27324,27150,HEBECOURT,1131.0,27,23
77145,77390,CRISENOY,1289.0,77,11
03221,03360,SAINT-BONNET-TRONCAIS,2822.0,03,83
49189,49330,MARIGNE,2502.0,49,52
86274,86120,LES TROIS-MOUTIERS,3572.0,86,54
10193,10500,LESMONT,999.0,10,21
24423,24500,SAINTE-INNOCENCE,716.0,24,72
60113,60480,BUCAMPS,583.0,60,22
60001,60220,ABANCOURT,595.0,60,22
31097,31460,LE CABANIAL,863.0,31,73
81135,81640,LAPARROUQUIAL,843.0,81,73
05135,05700,SAINTE-COLOMBE,1726.0,05,93
51612,51130,VERTUS,3567.0,51,21
80753,80300,THIEPVAL,443.0,80,22
50484,50600,SAINT-HILAIRE-DU-HARCOUET,1004.0,50,25
33544,33123,LE VERDON-SUR-MER,2060.0,33,72
09081,09100,LE CARLARET,950.0,09,73
16200,16230,MAINE-DE-BOIXE,939.0,16,54
33554,33370,YVRAC,854.0,33,72
31089,31530,BRETX,853.0,31,73
16277,16200,REPARSAC,1113.0,16,54
08288,08270,MESMONT,1135.0,08,21
14154,14290,LA CHAPELLE-YVON,702.0,14,25
30316,30450,SENECHAS,1492.0,30,91
84058,84480,LACOSTE,1071.0,84,93
32148,32200,GISCARO,550.0,32,73
21281,21610,FONTENELLE,1015.0,21,26
62410,62124,HAPLINCOURT,515.0,62,31
35260,35210,SAINT-CHRISTOPHE-DES-BOIS,927.0,35,53
51502,51240,SAINT-MARTIN-AUX-CHAMPS,729.0,51,21
52114,52120,CHATEAUVILLAIN,10726.0,52,21
62722,62390,ROUGEFAY,381.0,62,31
02780,02200,VENIZEL,373.0,02,22
67038,67720,BIETLENHEIM,215.0,67,42
48025,48200,LES BESSONS,2333.0,48,91
59273,59820,GRAVELINES,1968.0,59,31
52235,52100,HALLIGNICOURT,1178.0,52,21
76729,76190,VEAUVILLE-LES-BAONS,799.0,76,23
14357,14770,LASSY,1263.0,14,25
28211,28200,LOGRON,2279.0,28,24
01242,01450,MERIGNAT,312.0,01,82
19123,19360,MALEMORT-SUR-CORREZE,1640.0,19,74
24353,24340,LA ROCHEBEAUCOURT-ET-ARGENTINE,1720.0,24,72
24171,24800,EYZERAC,1157.0,24,72
70235,70000,FLAGY,963.0,70,43
45215,45340,MONTLIARD,907.0,45,24
52128,52700,CIREY-LES-MAREILLES,1461.0,52,21
49302,49260,SAINT-MACAIRE-DU-BOIS,1323.0,49,52
50310,50570,LE MESNIL-EURY,356.0,50,25
79100,79510,COULON,2986.0,79,54
71181,71250,DONZY-LE-PERTUIS,608.0,71,26
79170,79210,MAUZE-SUR-LE-MIGNON,2404.0,79,54
08004,08190,AIRE,680.0,08,21
21102,21430,BRAZEY-EN-MORVAN,1718.0,21,26
30225,30200,SABRAN,3572.0,30,91
65059,65200/65710,BAGNERES-DE-BIGORRE,12587.0,65,73
30341,30600,VAUVERT,11052.0,30,91
13081,13340,ROGNAC,1763.0,13,93
33205,33720,ILLATS,2918.0,33,72
56211,56140,SAINT-CONGARD,2175.0,56,53
62727,62620,RUITZ,487.0,62,31
66140,66370,PEZILLA-LA-RIVIERE,1639.0,66,91
61308,61210,NEUVY-AU-HOULME,1567.0,61,25
22015,22510,BREHAND,2593.0,22,53
38302,38740,LE PERIER,4793.0,38,82
59048,59554,BANTIGNY,317.0,59,31
51049,51130,BERGERES-LES-VERTUS,1841.0,51,21
03135,03450,LALIZOLLE,2371.0,03,83
24022,24150,BADEFOLS-SUR-DORDOGNE,606.0,24,72
49252,49600,LE PUISET-DORE,2264.0,49,52
62292,62380,ELNES,641.0,62,31
87044,87600,CHERONNAC,1881.0,87,74
02256,02140,DAGNY-LAMBERCY,1006.0,02,22
52291,52240,LONGCHAMP,606.0,52,21
26240,26400,PLAN-DE-BAIX,1955.0,26,82
11410,11600,VILLALIER,801.0,11,91
23201,23150,SAINT-HILAIRE-LA-PLAINE,1137.0,23,74
28218,28110,LUCE,575.0,28,24
95611,95810,THEUVILLE,500.0,95,11
74212,74130,LE PETIT-BORNAND-LES-GLIERES,5349.0,74,82
43203,43200,SAINT-JULIEN-DU-PINET,1738.0,43,83
54151,54720,CUTRY,597.0,54,41
85279,85170,SALIGNY,2372.0,85,52
32162,32360,JEGUN,3918.0,32,73
79133,79220,GERMOND-ROUVRE,1776.0,79,54
86207,86270,LA ROCHE-POSAY,3509.0,86,54
26017,26340,AUCELON,2667.0,26,82
49306,49170,SAINT-MARTIN-DU-FOUILLOUX,1496.0,49,52
67520,67310,WASSELONNE,1495.0,67,42
10142,10190,ESTISSAC,2552.0,10,21
74201,74160,NEYDENS,696.0,74,82
87198,87140,VAULRY,1561.0,87,74
38467,38890,SALAGNON,828.0,38,82
89436,89210,VENIZY,4421.0,89,26
52450,52210,SAINT-LOUP-SUR-AUJON,1954.0,52,21
58086,58200,COSNE-COURS-SUR-LOIRE,5373.0,58,26
2B125,20237,GIOCATOJO,247.0,2B,94
14415,14380,LE MESNIL-BENOIST,268.0,14,25
33542,33240,VERAC,857.0,33,72
57611,57830,SAINT-GEORGES,810.0,57,41
80766,80560,TOUTENCOURT,1458.0,80,22
34244,34670,SAINT-BRES,480.0,34,91
25104,25440,BY,727.0,25,43
08470,08240,VERPEL,1533.0,08,21
67345,67240,OBERHOFFEN-SUR-MODER,1432.0,67,42
44111,44130,NOTRE-DAME-DES-LANDES,3759.0,44,52
89486,89700,YROUERRE,1440.0,89,26
59366,59173,LYNDE,910.0,59,31
27251,27470,FONTAINE-L'ABBE,1323.0,27,23
14666,14940,SANNERVILLE,517.0,14,25
40076,40500,CAUNA,1283.0,40,72
95675,95380,VILLERON,571.0,95,11
85113,85350,L'ILE-D'YEU,2465.0,85,52
27049,27410,BEAUMESNIL,1264.0,27,23
81062,81260,CASTELNAU-DE-BRASSAC,7265.0,81,73
28277,28800,NEUVY-EN-DUNOIS,2589.0,28,24
65245,65300,LAGRANGE,364.0,65,73
76101,76340,BLANGY-SUR-BRESLE,1749.0,76,23
42159,42440,NOIRETABLE,4065.0,42,82
60089,60240,BOUBIERS,1038.0,60,22
33289,33580,MONSEGUR,991.0,33,72
88012,88380,ARCHETTES,1388.0,88,41
15163,15220,ROANNES-SAINT-MARY,3682.0,15,83
14252,14190,ESTREES-LA-CAMPAGNE,750.0,14,25
22335,22720,SENVEN-LEHART,1265.0,22,53
36137,36220,NEONS-SUR-CREUSE,1974.0,36,24
2B169,20218,MOROSAGLIA,2454.0,2B,94
63380,63710,SAINT-NECTAIRE,3344.0,63,83
60176,60800,CREPY-EN-VALOIS,1645.0,60,22
22243,22160,PLUSQUELLEC,2675.0,22,53
88332,88800,NORROY,726.0,88,41
39046,39310,BELLECOMBE,1221.0,39,43
18107,18200,LA GROUTTE,289.0,18,24
78192,78111,DAMMARTIN-EN-SERVE,1382.0,78,11
88010,88170,AOUZE,1116.0,88,41
26379,26600,GRANGES-LES-BEAUMONT,771.0,26,82
57290,57170,HAMPONT,1120.0,57,41
01115,01310,CONFRANCON,1816.0,01,82
36066,36300,DOUADIC,4429.0,36,24
63432,63260,THURET,1668.0,63,83
40016,40700,AUBAGNAN,346.0,40,72
63123,63450,COURNOLS,1091.0,63,83
66059,66200,CORNEILLA-DEL-VERCOL,537.0,66,91
34181,34320,NEFFIES,1097.0,34,91
43138,43270,MONLET,3526.0,43,83
32071,32190,CAILLAVET,1463.0,32,73
33032,33530,BASSENS,1030.0,33,72
62363,62690,FREVIN-CAPELLE,361.0,62,31
54497,54330,SAXON-SION,625.0,54,41
33457,33210,SAINT-PARDON-DE-CONQUES,669.0,33,72
58217,58500,POUSSEAUX,1103.0,58,26
60612,60300,SENLIS,2433.0,60,22
14382,14710,LOUVIERES,428.0,14,25
02196,02000,CLACY-ET-THIERRET,422.0,02,22
62109,62134,BERGUENEUSE,284.0,62,31
80498,80560,MAILLY-MAILLET,1123.0,80,22
30103,30390,DOMAZAN,1137.0,30,91
61107,61320,CIRAL,1803.0,61,25
85114,85520,JARD-SUR-MER,1682.0,85,52
22320,22160,SAINT-NICODEME,1723.0,22,53
32358,32340,SAINT-ANTOINE,982.0,32,73
21693,21330,VILLEDIEU,1412.0,21,26
53209,53320,SAINT-CYR-LE-GRAVELAIS,2046.0,53,52
39206,39600,ECLEUX,621.0,39,43
12031,12390,BOURNAZEL,1652.0,12,73
21319,21110,IZEURE,1675.0,21,26
15129,15190,MONTBOUDIF,2032.0,15,83
78503,78270,PORT-VILLEZ,535.0,78,11
49374,49400,VILLEBERNIER,1009.0,49,52
19103,19340,LAMAZIERE-HAUTE,1542.0,19,74
25470,25250,LA PRETIERE,272.0,25,43
22203,22150,PLOEUC-SUR-LIE,4546.0,22,53
57556,57510,PUTTELANGE-AUX-LACS,1683.0,57,41
67278,67430,MACKWILLER,916.0,67,42
86261,86800,SEVRES-ANXAUMONT,1569.0,86,54
57700,57320,VAUDRECHING,460.0,57,41
28100,28300,CINTRAY,401.0,28,24
21376,21270,MARANDEUIL,453.0,21,26
17267,17540,NUAILLE-D'AUNIS,1652.0,17,54
27526,27500,SAINTE-CROIX-SUR-AIZIER,478.0,27,23
14699,14800,TOUQUES,815.0,14,25
15201,15230,SAINT-MARTIN-SOUS-VIGOUROUX,1947.0,15,83
